userId,productId
U1,P8
U1,P2
U1,P48
U1,P18
U1,P16
U1,P15
U1,P9
U1,P7
U2,P48
U2,P35
U2,P6
U2,P38
U2,P28
U2,P3
U2,P2
U2,P50
U3,P15
U3,P33
U3,P39
U3,P2
U4,P13
U4,P46
U4,P42
U4,P45
U4,P35
U4,P27
U4,P15
U5,P38
U5,P18
U5,P1
U5,P11
U5,P45
U5,P28
U6,P18
U6,P10
U6,P14
U6,P49
U6,P22
U7,P6
U7,P25
U7,P7
U8,P23
U8,P39
U8,P17
U8,P3
U8,P47
U9,P35
U9,P8
U9,P25
U9,P6
U9,P36
U9,P19
U10,P40
U10,P24
U10,P37
U10,P13
U10,P46
U10,P5
U10,P3
U10,P43
U11,P50
U11,P19
U11,P6
U11,P15
U12,P25
U12,P18
U12,P30
U13,P24
U13,P11
U13,P50
U13,P23
U13,P14
U13,P43
U13,P18
U13,P42
U14,P39
U14,P41
U14,P11
U15,P47
U15,P16
U15,P11
U15,P30
U15,P25
U15,P18
U15,P41
U16,P36
U16,P15
U16,P44
U16,P21
U16,P4
U16,P49
U16,P3
U16,P47
U17,P18
U17,P5
U17,P14
U17,P37
U17,P46
U17,P21
U18,P42
U18,P32
U18,P26
U18,P30
U19,P17
U19,P9
U19,P16
U19,P48
U20,P35
U20,P17
U20,P48
U20,P38
U20,P28
U20,P47
U20,P26
U21,P15
U21,P9
U21,P33
U21,P32
U21,P6
U22,P8
U22,P10
U22,P41
U23,P44
U23,P28
U23,P39
U23,P5
U24,P25
U24,P39
U24,P30
U24,P34
U24,P17
U24,P36
U25,P44
U25,P47
U25,P8
U26,P35
U26,P49
U26,P18
U26,P42
U26,P22
U26,P8
U26,P19
U26,P28
U27,P30
U27,P1
U27,P47
U27,P17
U28,P49
U28,P12
U28,P33
U28,P7
U28,P41
U28,P20
U28,P46
U29,P39
U29,P13
U29,P10
U29,P24
U29,P11
U29,P35
U29,P34
U30,P39
U30,P21
U30,P32
U31,P8
U31,P24
U31,P20
U32,P4
U32,P16
U32,P37
U32,P6
U33,P47
U33,P32
U33,P5
U34,P50
U34,P9
U34,P49
U34,P43
U34,P31
U34,P36
U34,P11
U35,P34
U35,P39
U35,P28
U35,P14
U35,P35
U36,P45
U36,P13
U36,P46
U36,P20
U36,P26
U36,P43
U36,P42
U36,P24
U37,P34
U37,P29
U37,P8
U37,P16
U37,P15
U37,P5
U38,P2
U38,P38
U38,P36
U38,P15
U38,P1
U39,P46
U39,P41
U39,P4
U40,P5
U40,P3
U40,P22
U40,P33
U41,P18
U41,P43
U41,P32
U41,P14
U42,P9
U42,P47
U42,P37
U42,P48
U42,P31
U42,P16
U42,P46
U43,P13
U43,P7
U43,P49
U43,P43
U43,P28
U43,P23
U44,P27
U44,P30
U44,P47
U44,P4
U44,P44
U44,P42
U45,P7
U45,P4
U45,P26
U45,P47
U45,P22
U45,P50
U45,P16
U45,P13
U46,P35
U46,P29
U46,P9
U46,P28
U47,P18
U47,P30
U47,P16
U47,P5
U48,P36
U48,P7
U48,P4
U48,P42
U48,P35
U48,P1
U49,P49
U49,P16
U49,P11
U50,P32
U50,P31
U50,P14
U50,P26
U50,P4
U50,P11
U51,P1
U51,P25
U51,P17
U51,P30
U51,P19
U51,P28
U52,P47
U52,P36
U52,P43
U52,P46
U52,P32
U52,P10
U52,P13
U52,P19
U53,P4
U53,P38
U53,P48
U53,P35
U54,P48
U54,P21
U54,P4
U55,P38
U55,P31
U55,P33
U56,P11
U56,P4
U56,P33
U56,P6
U56,P12
U56,P5
U56,P39
U57,P44
U57,P16
U57,P26
U58,P37
U58,P16
U58,P38
U59,P3
U59,P40
U59,P6
U59,P27
U59,P43
U59,P38
U59,P37
U60,P21
U60,P17
U60,P14
U60,P43
U60,P46
U60,P50
U60,P16
U61,P26
U61,P9
U61,P43
U61,P42
U61,P20
U62,P21
U62,P49
U62,P5
U62,P1
U62,P30
U62,P40
U63,P7
U63,P5
U63,P35
U63,P14
U63,P33
U63,P17
U63,P9
U64,P5
U64,P16
U64,P24
U64,P19
U64,P11
U65,P35
U65,P46
U65,P20
U65,P40
U65,P42
U65,P34
U66,P43
U66,P36
U66,P20
U67,P7
U67,P9
U67,P17
U67,P8
U67,P50
U67,P36
U67,P10
U67,P18
U68,P39
U68,P14
U68,P46
U68,P22
U68,P44
U69,P17
U69,P33
U69,P32
U69,P50
U69,P4
U69,P6
U69,P41
U69,P28
U70,P3
U70,P1
U70,P22
U70,P50
U70,P9
U71,P17
U71,P11
U71,P48
U71,P29
U71,P36
U71,P28
U71,P46
U71,P1
U72,P5
U72,P45
U72,P10
U73,P3
U73,P24
U73,P38
